CatalogID,ServiceID
33,111
33,112
33,113
33,114
33,115
33,116
33,117
33,118
33,119
33,120
33,121
33,122
34,117
34,123
34,124
35,125
35,126
36,127
36,128
37,121
37,129
37,130
37,131
37,132
37,133
37,134
37,135
38,125
38,136
38,137
39,138
39,139
39,140
39,141
40,142
40,143
40,144
40,145
41,146
41,147
41,148
41,149
41,150
41,151
42,121
42,152
42,153
43,125
43,151
44,154
45,155
45,156
45,157
46,158
46,159
46,160
46,161
47,160
47,162
48,160
48,163
